,URL,Title,Author,Date,Metas
0,https://zingnews.vn/ap-thap-nhiet-doi-tien-vao-bien-dong-post1131607.html,Áp thấp nhiệt đới tiến vào Biển Đông - Xã hội - ZINGNEWS.VN ,Mỹ Hà,2020-09-15 22:10:00,"{'description': 'Áp thấp nhiệt đới ở miền trung Philippines đã tiến vào Biển Đông và khả năng mạnh thành bão trong những giờ tới.', 'keywords': 'áp thấp nhiệt đới trên Biển Đông', 'googlebot': 'noarchive', 'robots': 'noarchive', 'apple-itunes-app': 'app-id=818187465', 'viewport': 'width=device-width,initial-scale=1.0, maximum-scale=1.0, user-scalable=no', 'format-detection': 'address=no', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black', 'google-site-verification': 'KfCirPD6i3XgOVOt43mwJWGHHV-cyddvfV4ngRnPmig'}"
1,https://zingnews.vn/ha-noi-buoc-vao-chu-ky-o-nhiem-khong-khi-post1128211.html,Hà Nội bước vào chu kỳ ô nhiễm không khí - Xã hội - ZINGNEWS.VN ,Mỹ Hà,2020-06-09 10:50:00,"{'description': 'Ô nhiễm không khí ở Hà Nội sẽ gia tăng vào dịp cuối năm do ảnh hưởng của thời tiết.', 'keywords': 'ô nhiễm không khí miền Bắc', 'googlebot': 'noarchive', 'robots': 'noarchive', 'apple-itunes-app': 'app-id=818187465', 'viewport': 'width=device-width,initial-scale=1.0, maximum-scale=1.0, user-scalable=no', 'format-detection': 'address=no', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black', 'google-site-verification': 'KfCirPD6i3XgOVOt43mwJWGHHV-cyddvfV4ngRnPmig'}"
2,https://zingnews.vn/be-gai-1-tuoi-tu-vong-sau-khi-tiem-vaccine-post1131609.html,Bé gái 1 tuổi tử vong sau khi tiêm vaccine - Xã hội - ZINGNEWS.VN ,Huỳnh Hải,2020-09-15 22:44:00,"{'description': 'Sở Y tế Đồng Nai đã dừng lô vaccine viêm não Nhật Bản B sau khi bé gái 1 tuổi tử vong.', 'keywords': 'bé gái tử vong sau tiêm chủng', 'googlebot': 'noarchive', 'robots': 'noarchive', 'apple-itunes-app': 'app-id=818187465', 'viewport': 'width=device-width,initial-scale=1.0, maximum-scale=1.0, user-scalable=no', 'format-detection': 'address=no', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black', 'google-site-verification': 'KfCirPD6i3XgOVOt43mwJWGHHV-cyddvfV4ngRnPmig'}"
3,https://zingnews.vn/chinh-phu-quyet-mo-lai-6-duong-bay-quoc-te-post1131565.html,Chính phủ quyết mở lại 6 đường bay quốc tế - Xã hội - ZINGNEWS.VN ,Hoài Thu,2020-09-15 20:21:00,"{'description': 'Chính phủ quyết mở lại 6 đường bay quốc tế với tần suất không quá 2 chuyến/tuần. Một số trường hợp ưu tiên nhập cảnh được giảm thời gian cách ly còn 5 ngày.', 'keywords': 'Mở lại đường bay quốc tế ', 'googlebot': 'noarchive', 'robots': 'noarchive', 'apple-itunes-app': 'app-id=818187465', 'viewport': 'width=device-width,initial-scale=1.0, maximum-scale=1.0, user-scalable=no', 'format-detection': 'address=no', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black', 'google-site-verification': 'KfCirPD6i3XgOVOt43mwJWGHHV-cyddvfV4ngRnPmig'}"
4,https://zingnews.vn/bao-lu-don-dap-o-trung-bo-va-nam-bo-nhung-thang-cuoi-nam-post1131249.html,Bão lũ dồn dập ở Trung Bộ và Nam Bộ những tháng cuối năm - Xã hội - ZINGNEWS.VN ,Mỹ Hà,2020-09-15 06:00:00,"{'description': 'Khoảng 5 cơn bão sẽ ảnh hưởng trực tiếp đến Trung Bộ và Nam Bộ vào các tháng cuối năm. Cùng lúc, Bắc Bộ có thể hứng chịu các đợt rét kỷ lục trong mùa đông năm nay.', 'keywords': 'mùa bão ở Nam Bộ vào cuối năm', 'googlebot': 'noarchive', 'robots': 'noarchive', 'apple-itunes-app': 'app-id=818187465', 'viewport': 'width=device-width,initial-scale=1.0, maximum-scale=1.0, user-scalable=no', 'format-detection': 'address=no', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black', 'google-site-verification': 'KfCirPD6i3XgOVOt43mwJWGHHV-cyddvfV4ngRnPmig'}"
5,https://zingnews.vn/nguoi-tu-da-nang-den-thua-thien-hue-khong-can-xet-nghiem-covid-19-post1131417.html,Người từ Đà Nẵng đến Thừa Thiên - Huế không cần xét nghiệm Covid-19 - Xã hội - ZINGNEWS.VN ,Điền Quang,2020-09-15 18:04:00,"{'description': 'Từ 16/9, công dân từ Đà Nẵng vào tỉnh Thừa Thiên - Huế chỉ cần khai báo y tế, không bị cách ly bắt buộc.', 'keywords': 'Nới lỏng kiểm soát dịch', 'googlebot': 'noarchive', 'robots': 'noarchive', 'apple-itunes-app': 'app-id=818187465', 'viewport': 'width=device-width,initial-scale=1.0, maximum-scale=1.0, user-scalable=no', 'format-detection': 'address=no', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black', 'google-site-verification': 'KfCirPD6i3XgOVOt43mwJWGHHV-cyddvfV4ngRnPmig'}"
6,https://zingnews.vn/nu-sinh-lop-10-o-hai-phong-mat-tich-post1131519.html,Thi THPT 2020: Nữ sinh lớp 10 ở Hải Phòng mất tích - Xã hội - ZINGNEWS.VN ,Nguyễn Dương,2020-09-15 17:50:00,"{'description': 'Thi THPT 2020: Sau khi xin phép gia đình đi liên hoan lớp, Phạm Thị Kim Ngân chưa trở về nhà. Cảnh sát đang tìm tung tích nữ sinh.', 'keywords': 'nữ sinh lớp 10 mất tích', 'googlebot': 'noarchive', 'robots': 'noarchive', 'apple-itunes-app': 'app-id=818187465', 'viewport': 'width=device-width,initial-scale=1.0, maximum-scale=1.0, user-scalable=no', 'format-detection': 'address=no', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black', 'google-site-verification': 'KfCirPD6i3XgOVOt43mwJWGHHV-cyddvfV4ngRnPmig'}"
7,https://zingnews.vn/hai-phuong-an-nghi-tet-nguyen-dan-2021-post1131512.html,Hai phương án nghỉ Tết Nguyên đán 2021 - Xã hội - ZINGNEWS.VN ,Mỹ Hà,2020-09-15 17:28:00,"{'description': 'Theo cả hai phương án, công chức, viên chức và người lao động sẽ được nghỉ Tết Nguyên đán trong 7 ngày, tính cả nghỉ bù cuối tuần.', 'keywords': 'phương án nghỉ Tết nguyên đán 2021', 'googlebot': 'noarchive', 'robots': 'noarchive', 'apple-itunes-app': 'app-id=818187465', 'viewport': 'width=device-width,initial-scale=1.0, maximum-scale=1.0, user-scalable=no', 'format-detection': 'address=no', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black', 'google-site-verification': 'KfCirPD6i3XgOVOt43mwJWGHHV-cyddvfV4ngRnPmig'}"
8,https://zingnews.vn/bao-so-4-higos-manh-len-truoc-khi-do-bo-post1121355.html,Bão số 4 - Higos mạnh lên trước khi đổ bộ - Xã hội - ZINGNEWS.VN ,Mỹ Hà,2020-08-18 18:56:00,"{'description': 'Chiều 18/8, bão Higos đã mạnh lên cấp 9. Cơn bão dự kiến gây mưa lớn suốt nhiều ngày cho Bắc Bộ và Bắc Trung Bộ.', 'keywords': 'bão số 4 trên Biển Đông mạnh lên ', 'googlebot': 'noarchive', 'robots': 'noarchive', 'apple-itunes-app': 'app-id=818187465', 'viewport': 'width=device-width,initial-scale=1.0, maximum-scale=1.0, user-scalable=no', 'format-detection': 'address=no', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black', 'google-site-verification': 'KfCirPD6i3XgOVOt43mwJWGHHV-cyddvfV4ngRnPmig'}"
9,https://zingnews.vn/de-xuat-bo-quy-dinh-cap-gplx-khoi-luat-giao-thong-duong-bo-post1131520.html,Đề xuất bỏ quy định cấp GPLX khỏi Luật Giao thông đường bộ - Xã hội - ZINGNEWS.VN ,Hoài Thu,2020-09-15 18:19:00,"{'description': 'Luật Giao thông đường bộ (sửa đổi) bỏ các quy định về cấp, đổi, thu hồi GPLX. Nội dung này sẽ được đưa vào dự thảo luật mới do Bộ Công an chủ trì soạn thảo.', 'keywords': 'bỏ quy định quản lý, sát hạch lái xe khỏi Luật GTĐB', 'googlebot': 'noarchive', 'robots': 'noarchive', 'apple-itunes-app': 'app-id=818187465', 'viewport': 'width=device-width,initial-scale=1.0, maximum-scale=1.0, user-scalable=no', 'format-detection': 'address=no', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black', 'google-site-verification': 'KfCirPD6i3XgOVOt43mwJWGHHV-cyddvfV4ngRnPmig'}"
